Aria | Composer | Opera | Voice | Filename
Sul fil d'un soffio etesio | Verdi, Giuseppe | Falstaff | Nannetta | Sul fil d'un soffio etesio.pdf
Dal labbro il canto estasiato vola | Verdi, Giuseppe | Falstaff | Fenton | Dal labbro il canto estasiato vola.pdf
Comparire il ciel m'ha stretto | Verdi, Giuseppe | Giovanna d'Arco | Giacomo | Comparire il ciel m'ha stretto.pdf
Franco son io | Verdi, Giuseppe | Giovanna d'Arco | Giacomo | Franco son io.pdf
So che per via dei triboli | Verdi, Giuseppe | Giovanna d'Arco | Giacomo | So che per via dei triboli.pdf
Speme al vecchio ora una figlia | Verdi, Giuseppe | Giovanna d'Arco | Giacomo | Speme al vecchio ora una figlia.pdf
O fatidica foresta | Verdi, Giuseppe | Giovanna d'Arco | Giovanna | O fatidica foresta.pdf
Sempre all'alba ed alla sera | Verdi, Giuseppe | Giovanna d'Arco | Giovanna | Sempre all'alba ed alla sera.pdf
Pondo è letal martirio | Verdi, Giuseppe | Giovanna d'Arco | Carlo VII | Pondo è letal martirio.pdf
Quale al più fido amico | Verdi, Giuseppe | Giovanna d'Arco | Carlo VII | Quale al più fido amico.pdf
Sotto una quercia parvemi | Verdi, Giuseppe | Giovanna d'Arco | Carlo VII | Sotto una quercia parvemi.pdf
O vecchio cor che batte | Verdi, Giuseppe | I due Foscari | Francesco Foscari | O vecchio cor che batte.pdf
Questa dunque è l'iniqua mercede... Quel bronzo feral | Verdi, Giuseppe | I due Foscari | Francesco Foscari | Questa dunque è l'iniqua mercede... Quel bronzo feral.pdf
Più non vive | Verdi, Giuseppe | I due Foscari | Lucrezia Contarini | Più non vive.pdf
Tu al cui sguardi onni possente... La clemenza! s'aggiunge lo scherno | Verdi, Giuseppe | I due Foscari | Lucrezia Contarini | Tu al cui sguardi onni possente... La clemenza! s'aggiunge lo scherno.pdf
Ah padre, figli, sposa | Verdi, Giuseppe | I due Foscari | Jacopo Foscari | Ah padre, figli, sposa.pdf
All'infelice veglio | Verdi, Giuseppe | I due Foscari | Jacopo Foscari | All'infelice veglio.pdf
Dal più remoto esilio... Odio solo ed odio atroce | Verdi, Giuseppe | I due Foscari | Jacopo Foscari | Dal più remoto esilio... Odio solo ed odio atroce.pdf
Non maledirmi o prode | Verdi, Giuseppe | I due Foscari | Jacopo Foscari | Non maledirmi o prode.pdf
Ma quando un suon terrible | Verdi, Giuseppe | I lombardi alla prima crociata | Pagano | Ma quando un suon terrible.pdf
Sciagurata, ed hai creduto...O speranza di vendetta | Verdi, Giuseppe | I lombardi alla prima crociata | Pagano | Sciagurata, ed hai creduto...O speranza di vendetta.pdf
Non fu sogno | Verdi, Giuseppe | I lombardi alla prima crociata | Giselda | Non fu sogno.pdf
Salve Maria | Verdi, Giuseppe | I lombardi alla prima crociata | Giselda | Salve Maria.pdf
Se vano è il pregare...No giusta causa non è d'Iddio | Verdi, Giuseppe | I lombardi alla prima crociata | Giselda | Se vano è il pregare...No giusta causa non è d'Iddio.pdf
In cielo benedetto | Verdi, Giuseppe | I lombardi alla prima crociata | Oronte | In cielo benedetto.pdf
La mia letizia infondere...Come poteva un angelo | Verdi, Giuseppe | I lombardi alla prima crociata | Oronte | La mia letizia infondere...Come poteva un angelo.pdf
La sua lampada vitale | Verdi, Giuseppe | I masnadieri | Francesco | La sua lampada vitale.pdf
Pareami che sorto da lanto convito | Verdi, Giuseppe | I masnadieri | Francesco | Pareami che sorto da lanto convito.pdf
Tremate, o miseri | Verdi, Giuseppe | I masnadieri | Francesco | Tremate, o miseri.pdf
Un ignoto tre lune or saranno | Verdi, Giuseppe | I masnadieri | Massimiliano | Un ignoto tre lune or saranno.pdf
Carlo vive? O caro accento | Verdi, Giuseppe | I masnadieri | Amalia | Carlo vive O caro accento.pdf
